H0,F0,C,g,e,rh,rf,th,tf,dh,df,Modeled_RDI,Final_Lymphoma_Burden,Final_Reserve_Index
0.6360291461773971,0.47386027435918365,0.2871034222085127,0.26657065041830874,0.547599590112946,0.1903870689654477,0.22239204496275639,0.12279123266560887,0.1923244484620284,0.08629458462309982,0.10337473887252849,0.5788333333333383,0.27812821096333407,0.396793632131209
0.8915227971126154,0.6228303912790711,0.4095635617020891,0.19025607442681597,0.6688295578872567,0.1772317426234401,0.1639088756962393,0.10733393549344783,0.15306289104109966,0.11204093713242813,0.10037657292410147,0.7499999999999896,0.08345935182838835,0.4345015195911906
0.5145906233322303,0.7672223073684609,0.24305458576136996,0.17203174265109375,0.6560622599918903,0.25645147423506154,0.1170002611061097,0.184035200090633,0.14641834345130278,0.04339180224837944,0.053278298561226275,0.7499999999999896,0.08179990819325095,0.4234023242017465
0.5721769443933438,0.6252870038733023,0.5822285871477808,0.26516402349677826,0.6927410442752817,0.21409603881149616,0.2324497812275979,0.11171030109697448,0.08889961417524485,0.06392551967825823,0.09311410305206519,0.7499999999999896,0.10112254017332138,0.44530590964772465
0.4896711265747613,0.5389510214495382,0.5178437519258958,0.19284313278515391,0.5633753255643474,0.2299523867141189,0.08606227346906743,0.11510062189988181,0.17892185014290674,0.07153812548413337,0.056837471385176086,0.5500000000000045,0.2289265773974468,0.3230978947370607
0.8321457325888512,0.8178138080127432,0.5482459263866799,0.1835499988138637,0.7483233662889796,0.1687443489776754,0.1212219205089291,0.23917950674382452,0.08501520822421704,0.12242290416358173,0.06642507276337342,0.7051527777777724,0.07167000309981701,0.4026453957783963
0.5327556712920651,0.7358637472753864,0.3601286223461541,0.26557559874330317,0.6111332632098784,0.2328212937280726,0.2310640506019142,0.20318630153186285,0.13275318451645676,0.10938336324545736,0.052823677277494416,0.7184999999999945,0.15452257113059817,0.4199869226256108
0.8371781767077537,0.6967984702133059,0.247521765051604,0.18813304087490126,0.6171246507632886,0.18872701550705887,0.13807544868153904,0.25324842547099835,0.21992264821569818,0.15750757852093591,0.12002487861117732,0.6316111111111137,0.1543241433048871,0.3307875819447525
0.5262601830142493,0.7198742084301415,0.3376699104533786,0.16493994655153724,0.5868297608333038,0.23594769574835858,0.1352427544160556,0.1548286515080997,0.10469098221289284,0.08159542159709057,0.09236656223457718,0.7499999999999896,0.10553805919613635,0.42289414769868144
0.7335460278659562,0.5670752867824156,0.5095671806145299,0.27656119331079887,0.7266601565176952,0.1230945182240415,0.19115117205102075,0.25870650677849805,0.15733887442613764,0.08352809976897577,0.06752813198944715,0.6003888888888935,0.16585122159158253,0.32182223796959575
0.7598385961539207,0.8017178358661868,0.28977468168406334,0.2099534274236018,0.49616602241111113,0.1447788232934049,0.2169295693605664,0.10675325668638772,0.1993112723056,0.05705537444255185,0.0418152665725932,0.7499999999999896,0.17671518385560556,0.4493957794240028
0.8892370077786819,0.46007920424152343,0.4833656861959802,0.24309217021488894,0.6234747356901695,0.24401943025738576,0.17431891732677146,0.24619937419557816,0.1425276832728281,0.1288921202319942,0.0740291675652633,0.6089444444444488,0.19566770878884146,0.3615987870798886
0.5709915444496748,0.7167848125373696,0.1558806133623169,0.27027456837387687,0.6430922029015963,0.25523227190205566,0.17456251097101583,0.23701613822988232,0.20854337967986536,0.13645126393875973,0.07727892135813798,0.6371666666666685,0.18556906516874008,0.38599681038241496
